id,russian,type,gender,aspect,english,archived
604,дух,noun,masc,,spirit,FALSE
605,худо́й,adj,,,thin; lean,FALSE
606,ми́мо,prep,,,past; by,FALSE
607,возмо́жно,adv,,,possibly; perhaps,FALSE
608,враг,noun,masc,,enemy,FALSE
609,уби́ть,verb,,perf,to kill,FALSE
610,кста́ти,adv,,,by the way; incidentally,FALSE
611,чужо́й,adj,,,someone else's; alien; strange,FALSE
612,согласи́ться,verb,,perf,to agree,FALSE
613,сча́стье,noun,neut,,happiness,FALSE
614,удар,noun,masc,,blow; strike,FALSE
615,ста́рший,adj,,,elder; senior; older,FALSE
616,вме́сто,prep,,,instead of,FALSE
617,самолёт,noun,masc,,aeroplane,FALSE
618,тру́дно,adv,,,it is difficult; with difficulty,FALSE
619,улыбну́ться,verb,,perf,to smile,FALSE
620,дере́вня,noun,fem,,village,FALSE
621,карти́на,noun,fem,,picture; painting,FALSE
622,улыба́ться,verb,,imp,to smile (habitual),FALSE
623,почу́вствовать,verb,,perf,to feel,FALSE
624,бу́дущее,noun,neut,,future,FALSE
625,коридо́р,noun,masc,,corridor,FALSE
626,то́лстый,adj,,,fat; thick,FALSE
627,нра́виться,verb,,imp,to like; to please,FALSE
628,пра́вый,adj,,,right; rightful,FALSE
629,больно́й,adj,,,ill; sick,FALSE
630,ум,noun,masc,,mind; intelligence,FALSE
631,ме́нее,adv,,,less,FALSE
632,привести́,verb,,perf,to bring; to lead,FALSE
633,предложи́ть,verb,,perf,to suggest; to propose,FALSE
634,вы́звать,verb,,perf,to cause; to call; to summon,FALSE
635,ма́ло,num,,,few; little (number),FALSE
636,кабине́т,noun,masc,,office; study,FALSE
637,мно́гие,pron,,,many (people); a lot (pronoun),FALSE
638,легко́,adv,,,easily; lightly,FALSE
639,коле́но,noun,neut,,knee,FALSE
640,хвата́ть,verb,,imp,to be enough; to grab,FALSE
641,принести́,verb,,perf,to bring,FALSE
642,вся́кое,pron,,,everything; all sorts of,FALSE
643,буты́лка,noun,fem,,bottle,FALSE
644,госуда́рственный,adj,,,state; government (adj),FALSE
645,рабо́чий,adj,,,working; worker (adj),FALSE
646,сто,num,,,one hundred,FALSE
647,телефо́н,noun,masc,,telephone,FALSE
648,компа́ния,noun,fem,,company,FALSE
649,кру́пный,adj,,,large; major,FALSE
650,откры́тый,adj,,,open,FALSE
651,до́ктор,noun,masc,,doctor,FALSE
652,принима́ть,verb,,imp,to accept; to take; to receive,FALSE
653,вниз,adv,,,downwards; down,FALSE
654,а́втор,noun,masc,,author,FALSE
655,мужи́к,noun,masc,,peasant; fellow; bloke,FALSE
656,вовсе,adv,,,at all; entirely,FALSE
657,интере́с,noun,masc,,interest,FALSE
658,провести́,verb,,perf,to carry out; to spend time,FALSE
659,хвати́ть,verb,,perf,to be enough,FALSE
660,дво́е,num,,,two (people),FALSE
661,холо́дный,adj,,,cold,FALSE
662,счет,noun,masc,,account; bill; score,FALSE
663,споко́йно,adv,,,calmly; quietly,FALSE
664,ме́стный,adj,,,local,FALSE
665,лейтена́нт,noun,masc,,lieutenant,FALSE
666,ору́жие,noun,neut,,weapon; arms,FALSE
667,игра́,noun,fem,,game,FALSE
668,приходи́ться,verb,,imp,to have to; to be obliged,FALSE
669,кри́кнуть,verb,,perf,to shout out; to cry out,FALSE
670,попроси́ть,verb,,perf,to ask; to request,FALSE
671,тре́бовать,verb,,imp,to demand; to require,FALSE
672,бой,noun,masc,,battle; fight,FALSE
673,ка́чество,noun,neut,,quality,FALSE
674,смея́ться,verb,,imp,to laugh,FALSE
675,родно́й,adj,,,native; dear; own,FALSE
676,жёлтый,adj,,,yellow,FALSE
677,член,noun,masc,,member,FALSE
678,доста́точно,adv,,,sufficiently; enough,FALSE
679,хлеб,noun,masc,,bread,FALSE
680,присла́ть,verb,,perf,to send,FALSE
681,золото́й,adj,,,golden; gold,FALSE
682,полити́ческий,adj,,,political,FALSE
683,обы́чный,adj,,,usual; ordinary,FALSE
684,разви́тие,noun,neut,,development,FALSE
685,ва́жный,adj,,,important,FALSE
686,банк,noun,masc,,bank,FALSE
687,сове́т,noun,masc,,advice; council; soviet,FALSE
688,сто́лько,adv,,,so much; so many,FALSE
689,возвраща́ться,verb,,imp,to return; to go back,FALSE
690,тру́бка,noun,fem,,pipe; tube; receiver,FALSE
691,ладо́нь,noun,fem,,palm (of hand),FALSE
692,желе́зный,adj,,,iron (adjective),FALSE
693,ока́зываться,verb,,imp,to turn out; to find oneself,FALSE
694,институ́т,noun,masc,,institute,FALSE
695,потеря́ть,verb,,perf,to lose,FALSE
696,молода́я,noun,fem,,young woman; bride,FALSE
697,прави́тельство,noun,neut,,government,FALSE
698,остально́й,pron,,,the rest; other,FALSE
699,вы́пить,verb,,perf,to drink (completed),FALSE
700,пока́зывать,verb,,imp,to show (habitual),FALSE
701,иде́я,noun,fem,,idea,FALSE
702,то́чка,noun,fem,,point; dot,FALSE
703,у́ровень,noun,masc,,level,FALSE
704,профе́ссор,noun,masc,,professor,FALSE
705,нау́ка,noun,fem,,science,FALSE
706,собы́тие,noun,neut,,event,FALSE
707,сою́з,noun,masc,,union,FALSE
708,коро́ль,noun,masc,,king,FALSE
709,полови́на,noun,fem,,half,FALSE
710,метр,noun,masc,,metre,FALSE
711,отда́ть,verb,,perf,to give back; to hand over,FALSE
712,ве́ра,noun,fem,,faith; belief,FALSE
713,кивну́ть,verb,,perf,to nod,FALSE
714,о́бласть,noun,fem,,region; area; field,FALSE
715,исче́знуть,verb,,perf,to disappear,FALSE
716,ситуа́ция,noun,fem,,situation,FALSE
717,ку́хня,noun,fem,,kitchen,FALSE
718,наде́жда,noun,fem,,hope,FALSE
719,род,noun,masc,,family; kind; genus,FALSE
720,офице́р,noun,masc,,officer,FALSE
721,си́ний,adj,,,blue (dark blue),FALSE
722,тече́ние,noun,neut,,current; flow,FALSE
723,информа́ция,noun,fem,,information,FALSE
724,получи́ться,verb,,perf,to work out; to turn out,FALSE
725,помо́чь,verb,,perf,to help,FALSE
726,тёплый,adj,,,warm,FALSE
727,мо́лча,adv,,,silently; in silence,FALSE
728,неме́цкий,adj,,,German (adjective),FALSE
729,ви́димо,adv,,,apparently; evidently,FALSE
730,бить,verb,,imp,to beat; to hit,FALSE
731,ча́стый,adj,,,frequent,FALSE
732,по́здний,adj,,,late,FALSE
733,созда́ть,verb,,perf,to create,FALSE
734,со́рок,num,,,forty,FALSE
735,грани́ца,noun,fem,,border; boundary,FALSE
736,слеза́,noun,fem,,tear,FALSE
737,поско́льку,conj,,,since; as,FALSE
738,расска́з,noun,masc,,story; tale,FALSE
739,вспонима́ть,verb,,imp,to recall; to remember,FALSE
740,получа́ть,verb,,imp,to receive; to get (habitual),FALSE
741,трава́,noun,fem,,grass,FALSE
742,шесть,num,,,six,FALSE
743,упа́сть,verb,,perf,to fall,FALSE
744,три́дцать,num,,,thirty,FALSE
745,борьба́,noun,fem,,struggle; fight,FALSE
746,доста́ть,verb,,perf,to get out; to take out; to reach,FALSE
747,ше́я,noun,fem,,neck,FALSE
748,деся́ток,noun,masc,,dozen; ten,FALSE
749,наде́яться,verb,,imp,to hope,FALSE
750,толпа́,noun,fem,,crowd,FALSE
751,моско́вский,adj,,,Moscow (adjective),FALSE
752,роди́тель,noun,masc,,parent,FALSE
753,пра́вило,noun,neut,,rule,FALSE
754,слать,verb,,imp,to send (habitual),FALSE
755,секу́нда,noun,fem,,second,FALSE
756,придти́сь,verb,,perf,to have to; to be forced,FALSE
757,вздохну́ть,verb,,perf,to sigh,FALSE
758,уве́ренный,adj,,,confident; sure,FALSE
759,неизве́стный,adj,,,unknown,FALSE
760,програ́мма,noun,fem,,programme,FALSE
761,фами́лия,noun,fem,,surname; family name,FALSE
762,звук,noun,masc,,sound,FALSE
763,рома́н,noun,masc,,novel; romance,FALSE
764,мно́го,num,,,many (number),FALSE
765,неожи́данно,adv,,,unexpectedly; suddenly,FALSE
766,вон,adv,,,over there; away,FALSE
767,то́нкий,adj,,,thin; slender,FALSE
768,чай,noun,masc,,tea,FALSE
769,вну́тренний,adj,,,inner; internal,FALSE
770,роль,noun,fem,,role; part,FALSE
771,созна́ние,noun,neut,,consciousness; awareness,FALSE
772,верный,adj,,,faithful; correct; right,FALSE
773,кома́нда,noun,fem,,team; command,FALSE
774,спаси́бо,noun,neut,,thank you,FALSE
775,прекра́сный,adj,,,wonderful; splendid; beautiful,FALSE
776,петь,verb,,imp,to sing,FALSE
777,магази́н,noun,masc,,shop; store,FALSE
778,впервы́е,adv,,,for the first time,FALSE
779,америка́нский,adj,,,American,FALSE
780,воро́т,noun,masc,,collar,FALSE
781,прости́ть,verb,,perf,to forgive,FALSE
782,полко́вник,noun,masc,,colonel,FALSE
783,приро́да,noun,fem,,nature,FALSE
784,си́льно,adv,,,strongly; very much,FALSE
785,за́пах,noun,masc,,smell; scent,FALSE
786,поэ́т,noun,masc,,poet,FALSE
787,райо́н,noun,masc,,district; region,FALSE
788,лист,noun,masc,,leaf; sheet,FALSE
789,переста́ть,verb,,perf,to stop; to cease,FALSE
790,стекло́,noun,neut,,glass,FALSE
791,вы́ше,adv,,,higher; above,FALSE
792,коли́чество,noun,neut,,quantity; number,FALSE
793,эта́ж,noun,masc,,floor; storey,FALSE
794,тип,noun,masc,,type; sort; fellow,FALSE
795,пожа́ловать,verb,,perf,to welcome; to grant,FALSE
796,свобо́да,noun,fem,,freedom; liberty,FALSE
797,сапо́г,noun,masc,,boot,FALSE
798,суд,noun,masc,,court; trial,FALSE
799,чей,adj,,,whose,FALSE
800,вы́ход,noun,masc,,exit; way out,FALSE
801,дед,noun,masc,,grandfather,FALSE
802,лоб,noun,masc,,forehead,FALSE
803,кре́сло,noun,neut,,armchair,FALSE
804,дочь,noun,fem,,daughter,FALSE
805,серьёзный,adj,,,serious,FALSE
806,ожида́ть,verb,,imp,to expect; to wait for,FALSE
807,хара́ктер,noun,masc,,character; nature; temper,FALSE
808,о́пыт,noun,masc,,experience,FALSE
809,пло́щадь,noun,fem,,square; area,FALSE
810,вновь,adv,,,anew; again,FALSE
811,бы́стрый,adj,,,fast; quick,FALSE
812,появля́ться,verb,,imp,to appear (habitual),FALSE
813,управле́ние,noun,neut,,management; administration,FALSE
814,свя́занный,adj,,,connected; linked,FALSE
815,мне́ние,noun,neut,,opinion,FALSE
816,впереди́,prep,,,ahead; in front,FALSE
817,испо́льзовать,verb,,imp/perf,to use,FALSE
818,взгляну́ть,verb,,perf,to glance; to take a look,FALSE
819,револю́ция,noun,fem,,revolution,FALSE
820,до́лгий,adj,,,long,FALSE
821,улы́бка,noun,fem,,smile,FALSE
822,рост,noun,masc,,growth; height,FALSE
823,ло́шадь,noun,fem,,horse,FALSE
824,ти́хий,adj,,,quiet; gentle,FALSE
825,глубо́кий,adj,,,deep,FALSE
826,ле́вый,adj,,,left,FALSE
827,ко́жа,noun,fem,,skin; leather,FALSE
828,при́шлый,adj,,,newly arrived; stranger,FALSE
829,звезда́,noun,fem,,star,FALSE
830,по́езд,noun,masc,,train,FALSE
831,протяну́ть,verb,,perf,stretch out; reach out,FALSE
832,служи́ть,verb,,imp,to serve,FALSE
833,сестра́,noun,fem,,sister,FALSE
834,пожа́луйста,adv,,,please,FALSE
835,уе́хать,verb,,perf,to leave; to go away (vehicle),FALSE
836,пове́рить,verb,,perf,to believe,FALSE
837,ба́ба,noun,fem,,old woman; woman (col.),FALSE
838,не́чего,adv,,,nothing to do; there is nothing,FALSE
839,цвето́к,noun,masc,,flower,FALSE
840,дождь,noun,masc,,rain,FALSE
841,жела́ние,noun,neut,,desire; wish,FALSE
842,боле́знь,noun,fem,,illness; disease,FALSE
843,вызыва́ть,verb,,imp,to cause; to call (habitual),FALSE
844,называ́ться,verb,,imp,to be called; to be named,FALSE
845,встре́тить,verb,,perf,to meet,FALSE
846,сосе́д,noun,masc,,neighbour,FALSE
847,приме́р,noun,masc,,example,FALSE
848,разгова́ривать,verb,,imp,to talk; to converse,FALSE
849,позво́лить,verb,,perf,to allow; to permit,FALSE
850,обнару́жить,verb,,perf,to discover; to find,FALSE
851,да́ма,noun,fem,,lady; woman,FALSE
852,поверну́ться,verb,,perf,to turn around,FALSE
853,о́рган,noun,masc,,organ,FALSE
854,по́ле,noun,neut,,field,FALSE
855,я́щик,noun,masc,,box; drawer,FALSE
856,цена́,noun,fem,,price,FALSE
857,подходи́ть,verb,,imp,to approach; to suit,FALSE
858,горя́чий,adj,,,hot,FALSE
859,ми́лый,adj,,,dear; sweet; kind,FALSE
860,сла́бый,adj,,,weak,FALSE
861,ах,interj,,,ah!; oh!,FALSE
862,ка́рта,noun,fem,,card; map,FALSE
863,сла́ва,noun,fem,,glory; fame,FALSE
864,ра́дость,noun,fem,,joy,FALSE
865,зато́,conj,,,but; on the other hand,FALSE
866,тень,noun,fem,,shadow,FALSE
867,висе́ть,verb,,imp,to hang,FALSE
868,опера́ция,noun,fem,,operation,FALSE
869,вы́глядеть,verb,,imp,to look; to appear,FALSE
870,де́йствовать,verb,,imp,to act,FALSE
871,нести́,verb,,imp,to carry; to bear,FALSE
872,му́зыка,noun,fem,,music,FALSE
873,голубо́й,adj,,,light blue,FALSE
874,горе́ть,verb,,imp,to burn,FALSE
875,заво́д,noun,masc,,factory; plant,FALSE
876,доба́вить,verb,,perf,to add,FALSE
877,ле́то,noun,neut,,summer,FALSE
878,весьма́,adv,,,very; highly; considerably,FALSE
879,сади́ться,verb,,imp,to sit down (habitual),FALSE
880,и́бо,conj,,,for; because,FALSE
881,ме́лкий,adj,,,small; petty; fine,FALSE
882,помога́ть,verb,,imp,to help (habitual),FALSE
883,люби́мый,adj,,,favourite; beloved,FALSE
884,ста́нция,noun,fem,,station,FALSE
885,по́вод,noun,masc,,reason; pretext,FALSE
886,во́ля,noun,fem,,will; freedom,FALSE
887,литература,noun,fem,,literature,FALSE
888,де́тский,adj,,,children's; childlike,FALSE
889,пра́вильно,adv,,,correctly; rightly,FALSE
890,дура́к,noun,masc,,fool; idiot,FALSE
891,прика́з,noun,masc,,order; command,FALSE
892,граждани́н,noun,masc,,citizen,FALSE
893,интере́сно,adv,,,interestingly; it is interesting,FALSE
894,счастли́вый,adj,,,happy; fortunate,FALSE
895,кры́ша,noun,fem,,roof,FALSE
896,цвет,noun,masc,,colour,FALSE
897,весёлый,adj,,,cheerful; merry,FALSE
898,повтори́ть,verb,,perf,to repeat,FALSE
899,невозмо́жно,adv,,,it is impossible; one cannot,FALSE
900,статья́,noun,fem,,article,FALSE
901,круг,noun,masc,,circle; round,FALSE
902,столь,adv,,,so; to such a degree,FALSE
903,факт,noun,masc,,fact,FALSE
904,бок,noun,masc,,side,FALSE
905,относи́ться,verb,,imp,to relate to; to treat,FALSE
906,причём,adv,,,moreover; besides,FALSE
907,учи́ться,verb,,imp,to study; to learn,FALSE
908,стул,noun,masc,,chair,FALSE
909,удиви́ться,verb,,perf,to be surprised,FALSE
910,сре́дний,adj,,,middle; average,FALSE
911,совреме́нный,adj,,,modern; contemporary,FALSE
912,ла́герь,noun,masc,,camp,FALSE
913,войско́,noun,neut,,army; troops,FALSE
914,неда́вно,adv,,,recently,FALSE
915,удово́льствие,noun,neut,,pleasure,FALSE
916,вино́,noun,neut,,wine,FALSE
917,возраст,noun,masc,,age,FALSE
918,поги́бнуть,verb,,perf,to perish; to die,FALSE
919,спосо́бный,adj,,,capable; able,FALSE
920,ле́стница,noun,fem,,staircase; stairs,FALSE
921,держа́ться,verb,,imp,to hold on; to keep going,FALSE
922,мини́стр,noun,masc,,minister,FALSE
923,фронт,noun,masc,,front,FALSE
924,переда́ть,verb,,perf,to pass on; to transmit,FALSE
925,обра́тно,adv,,,back; backwards,FALSE
926,стреля́ть,verb,,imp,to shoot,FALSE
927,петербу́рг,noun,masc,,St Petersburg,FALSE
928,неуже́ли,part,,,really?; surely not?,FALSE
929,сад,noun,masc,,garden,FALSE
930,проводи́ть,verb,,imp,to accompany; to carry out,FALSE
931,зада́ча,noun,fem,,task; problem,FALSE
932,о́стрый,adj,,,sharp; acute,FALSE
933,мол,part,,,they say; allegedly (particle),FALSE
934,осторо́жно,adv,,,carefully; cautiously,FALSE
935,свобо́дный,adj,,,free,FALSE
936,входи́ть,verb,,imp,to enter; to go in (habitual),FALSE
937,темнота́,noun,fem,,darkness,FALSE
938,назва́ние,noun,neut,,name; title,FALSE
939,дви́гаться,verb,,imp,to move,FALSE
940,возни́кнуть,verb,,perf,to arise; to emerge,FALSE
941,большинство́,noun,neut,,majority,FALSE
942,организа́ция,noun,fem,,organisation,FALSE
943,дым,noun,masc,,smoke,FALSE
944,вы́сший,adj,,,highest; supreme,FALSE
945,киломе́тр,noun,masc,,kilometre,FALSE
946,позвони́ть,verb,,perf,to phone; to ring,FALSE
947,закрича́ть,verb,,perf,to shout out; to cry out,FALSE
948,ради́,prep,,,for the sake of,FALSE
949,председа́тель,noun,masc,,chairman,FALSE
950,приказа́ть,verb,,perf,to order; to command,FALSE
951,прямо́й,adj,,,straight; direct,FALSE
952,про́чее,pron,,,the rest; other things,FALSE
953,слегка́,adv,,,slightly; a little,FALSE
954,попро́бовать,verb,,perf,to try; to attempt,FALSE
955,вско́ре,adv,,,soon; before long,FALSE
956,вверх,adv,,,upwards; up,FALSE
957,ночно́й,adj,,,night (adjective); nocturnal,FALSE
958,до́ллар,noun,masc,,dollar,FALSE
959,носи́ть,verb,,imp,to carry; to wear,FALSE
960,выраже́ние,noun,neut,,expression,FALSE
961,кончи́ться,verb,,perf,to end; to finish,FALSE
962,пла́кать,verb,,imp,to cry; to weep,FALSE
963,танк,noun,masc,,tank,FALSE
964,меша́ть,verb,,imp,to hinder; to bother; to mix,FALSE
965,сухо́й,adj,,,dry,FALSE
966,зима́,noun,fem,,winter,FALSE
967,знак,noun,masc,,sign; symbol,FALSE
968,семь,num,,,seven,FALSE
969,получа́ться,verb,,imp,to work out; to turn out,FALSE
970,мозг,noun,masc,,brain,FALSE
971,учи́тель,noun,masc,,teacher,FALSE
972,жела́ть,verb,,imp,to wish; to desire,FALSE
973,обяза́тельно,adv,,,certainly; without fail,FALSE
974,майо́р,noun,masc,,major,FALSE
975,привы́кнуть,verb,,perf,to get used to,FALSE
976,поня́тно,adv,,,clear; understandable,FALSE
977,суди́ть,verb,,imp,to judge,FALSE
978,тишина́,noun,fem,,silence,FALSE
979,крова́ть,noun,fem,,bed,FALSE
980,очередно́й,adj,,,next; another,FALSE
981,де́ятельность,noun,fem,,activity,FALSE
982,сша,noun,plural,,USA,FALSE
983,ры́ба,noun,fem,,fish,FALSE
984,щека́,noun,fem,,cheek,FALSE
985,пти́ца,noun,fem,,bird,FALSE
986,обеща́ть,verb,,imp/perf,to promise,FALSE
987,стра́шно,adv,,,frightening; terribly,FALSE
988,ста́вить,verb,,imp,to put; to place,FALSE
989,стра́нно,adv,,,strangely,FALSE
990,па́па,noun,masc,,dad; father,FALSE
991,каса́ться,verb,,imp,to touch; to concern,FALSE
992,во́дка,noun,fem,,vodka,FALSE
993,зда́ние,noun,neut,,building,FALSE
994,коло́ть,verb,,imp,to prick; to stab, FALSE
995,зе́ркало,noun,neut,,mirror,FALSE
996,собра́ться,verb,,perf,to gather; to meet,FALSE
997,искусство,noun,neut,,art,FALSE
998,нача́ло,noun,neut,,beginning; start,FALSE
999,па́хнуть,verb,,imp,to smell,FALSE
1000,возника́ет,verb,,imp,to arise),FALSE
