id,russian,type,gender,aspect,english,archived
154,земля́,noun,fem,,earth; land; ground,FALSE
155,хорошо́,adv,,,well; fine; good,FALSE
156,хотя́,conj,,,although; though,FALSE
157,си́ла,noun,fem,,strength; force,FALSE
158,вода́,noun,fem,,water,FALSE
159,второ́й,adj,,,second,FALSE
160,уви́деть,verb,,perf,to see; catch sight of,FALSE
161,всегда́,adv,,,always,FALSE
162,дава́ть,verb,,imp,to give; to let,FALSE
163,слу́чай,noun,masc,,case; occasion; chance,FALSE
164,куда́,adv,,,where (to); whither,FALSE
165,пойти́,verb,,perf,to go (set off on foot),FALSE
166,стол,noun,masc,,table,FALSE
167,маши́на,noun,fem,,car; machine,FALSE
168,мир,noun,masc,,world; peace,FALSE
169,ночь,noun,fem,,night,FALSE
170,же́нщина,noun,fem,,woman,FALSE
171,оста́ться,verb,,perf,to stay; to remain,FALSE
172,сра́зу,adv,,,at once; immediately,FALSE
173,совсе́м,adv,,,completely; quite,FALSE
174,ребёнок,noun,masc,,child,FALSE
175,вы́йти,verb,,perf,to go out; to exit,FALSE
176,вид,noun,masc,,appearance; view; type,FALSE
177,отец,noun,masc,,father,FALSE
178,вопро́с,noun,masc,,question,FALSE
179,дать,verb,,perf,to give,FALSE
180,рабо́тать,verb,,imp,to work,FALSE
181,оказа́ться,verb,,perf,to turn out,FALSE
182,ряд,noun,masc,,row; number; series,FALSE
183,почти́,adv,,,almost; nearly,FALSE
184,снова,adv,,,again,FALSE
185,ста́рый,adj,,,old,FALSE
186,страна́,noun,fem,,country,FALSE
187,твой,adj,,,your (sing. inf.),FALSE
188,ме́жду,prep,,,between; among,FALSE
189,отве́тить,verb,,perf,to answer; to reply,FALSE
190,мно́го,adv,,,much; many; a lot,FALSE
191,война́,noun,fem,,war,FALSE
192,поду́мать,verb,,perf,to think (briefly),FALSE
193,де́ньги,noun,plural,,money,FALSE
194,люби́ть,verb,,imp,to love,FALSE
195,зна́чить,verb,,imp,to mean; to signify,FALSE
196,бе́лый,adj,,,white,FALSE
197,гла́вный,adj,,,main; chief,FALSE
198,мину́та,noun,fem,,minute,FALSE
199,лишь,part,,,only; merely,FALSE
200,това́рищ,noun,masc,,comrade; friend,FALSE
201,опя́ть,adv,,,again; once more,FALSE
202,ждать,verb,,imp,to wait,FALSE
203,одна́ко,conj,,,however; nevertheless,FALSE
204,пра́вда,noun,fem,,truth,FALSE
205,посмотре́ть,verb,,perf,to look; to have a look,FALSE
206,про,prep,,,about; concerning,FALSE
207,никогда́,adv,,,never,FALSE
208,бу́дто,conj,,,as if; as though,FALSE
209,часть,noun,fem,,part,FALSE
210,и́менно,part,,,namely; precisely,FALSE
211,найти́,verb,,perf,to find,FALSE
212,доро́га,noun,fem,,road,FALSE
213,свет,noun,masc,,light,FALSE
214,жена́,noun,fem,,wife,FALSE
215,никако́й,adj,,,no kind of; none,FALSE
216,лежа́ть,verb,,imp,to lie (down),FALSE
217,окно́,noun,neut,,window,FALSE
218,росси́я,noun,fem,,Russia,FALSE
219,мать,noun,fem,,mother,FALSE
220,реши́ть,verb,,perf,to decide; to solve,FALSE
221,получи́ть,verb,,perf,to receive; to get,FALSE
222,москва́,noun,fem,,Moscow,FALSE
223,писа́ть,verb,,imp,to write,FALSE
224,у́лица,noun,fem,,street,FALSE
225,верну́ться,verb,,perf,to return,FALSE
226,вообще́,adv,,,in general; altogether,FALSE
227,не́который,adj,,,some; certain,FALSE
228,далёкий,adj,,,distant; far,FALSE
229,ма́ленький,adj,,,small; little,FALSE
230,счита́ть,verb,,imp,to consider; to count,FALSE
231,ко́мната,noun,fem,,room,FALSE
232,у́тро,noun,neut,,morning,FALSE
233,сове́тский,adj,,,Soviet,FALSE
234,ве́чер,noun,masc,,evening,FALSE
235,сего́дня,adv,,,today,FALSE
236,душа́,noun,fem,,soul,FALSE
237,кни́га,noun,fem,,book,FALSE
238,плечо́,noun,neut,,shoulder,FALSE
239,вме́сте,adv,,,together,FALSE
240,таки́,part,,,still; all the same,FALSE
241,чуть,adv,,,slightly; a little; barely,FALSE
242,пол,noun,masc,,floor; gender,FALSE
243,по́мнить,verb,,imp,to remember,FALSE
244,ско́лько,num,,,how much; how many,FALSE
245,наро́д,noun,masc,,people; nation; folk,FALSE
246,хоть,conj,,,even though; at least,FALSE
247,взгляд,noun,masc,,glance; look; view,FALSE
248,ру́сский,adj,,,Russian,FALSE
249,заче́м,adv,,,why; what for,FALSE
250,исто́рия,noun,fem,,history; story,FALSE
